city,library,msIdentifier,msItem,extent,Diktyon,origDate_notBefore,origDate_notAfter,affiliation_naoumides,note,studied
Athos,Μονή Μεγίστης Λαύρας,I 40,,/,28143,1600,1700,NOT CYR.,,no
Athos,Μονή Μεγίστης Λαύρας,I 42,,ff. 13r-31r,28145,1700,1800,Zonaras,,no
Athos,Μονή Μεγίστης Λαύρας,K 71,,entire manuscript,28379,1300,1400,Zonaras,,no
Athos,Μονή Μεγίστης Λαύρας,Λ 22,,ff. 1r-110v,28533,1500,1600,,,no
Athos,Μονή Ξηροποτάμου,93,,pp. 383-548,30646,1500,1600,,,no
Athos,Μονή Αγίου Παντελεήμονος 567,567 (Lambros 6074),,/,22706,1700,1800,"questionable affiliation, lexicon anepigraphum f. 172v; Lexicon A: title Ἐκλογαὶ λέξεων ἐκ τῆς θύρας τῶν γλωσσῶν (fol. not given, but the next item begins with f. 150r); Lexicon B: described as Ἑρμηνεῖαι λέξεων κατ' ἀλφάβητον. fol. not given",,no
Basilea,Universitätsbibliothek,C. VI. 33,,entire manuscript,8923,1500,1600,,,no
Berlin,Staatsbibliothek,Phill. 1611,,/,9513,1400,1500,NOT CYR.,,no
Bern,Burgesbibliothek,288,,ff. 1-r272v,9555,1275,1325,NOT CYR. - Zonaras,,yes
Bologna,Biblioteca Universitaria,3559,,ff. 1r-196r,9749,1290,1292,Zonaras,,no
Bremen,Staats- und Universitätsbibliothek,C 11,,entire manuscript,9820,875,1025,independ. ms.,"Cf. Schmidt, Hsch. Alex. Lexicon, IV, 361-364.",yes
Bucarest,Biblioteca Academiei Române,575 (Litzica 735),,/,10648,1700,1800,NOT CYR.,,no
Cambridge,Trinity College,O. 1. 66 (James n° 1090),,entire manuscript,11967,1400,1500,rec. g,,yes
Cambridge,University Library,Kk. V. 25,,ff. 1-259v,12208,1400,1500,NOT CYR. - Zonaras,,yes
Copenhagen,Det Kongelige Bibliotek,GKS 1968 4°,,ff. 1r-111r,37193,1100,1200,rec. g,,yes
Copenhagen,Det Kongelige Bibliotek,GKS 1969 4°,,ff. 1r-47r,37194,1500,1600,questionable affiliation,attributed to Cyril in the title,no
Copenhagen,Det Kongelige Bibliotek,GKS 1970 4°,,ff. 1r-127v,37195,1300,1325,rec. g,,no
Deventer,Athenaeum Bibliotheek,101 E 2 Kl (1798),,entire manuscript,13347,1000,1100,rec. n,,yes
Dresda,Sächsische Landesbibliothek,Da. 37,,entire manuscript,13528,1300,1400,NOT CYR. - Zonaras,,yes
Dresda,Sächsische Landesbibliothek,Da. 41,,entire manuscript,13532,1500,1600,questionable affiliation,,yes
Edinburgh,Edinburgh University Library,226 (Laing 178),,entire manuscript,13739,1450,1550,NOT CYR. - Zonaras,,yes
Elassona,Μονή Παναγίας Ολυμπιωτίσσης,198,,?,14086,?,?,,,no
Escolrial,Real Biblioteca,Ψ.III.16,,ff. 1r-208r,15242,1200,1300,NOT CYR. - Zonaras,,yes
Florence,Biblioteca Medicea Laurenziana,Conv. Soppr. 74,,ff. 1r-97r,15820,1100,1200,rec. g,,yes
Florence,Biblioteca Medicea Laurenziana,Plut. 5.20,,entire manuscript,15968,,,rec. v,,yes
Florence,Biblioteca Medicea Laurenziana,Plut. 9.27,,ff. 1r-191r,16115,1300,1400,NOT CYR. - Zonaras,,yes
Florence,Biblioteca Medicea Laurenziana,Plut. 32.33,,"ff. 221r-241v, 243r-253v",16297,1275,1325,NOT CYR.,,yes
Florence,Biblioteca Medicea Laurenziana,Plut. 57.39,,entire manuscript,16408,1100,1200,rec. a,,yes
Florence,Biblioteca Medicea Laurenziana,Plut. 57.42,,entire manuscript,16411,1100,1200,rec. v,,yes
Florence,Biblioteca Medicea Laurenziana,Plut. 57.48,,entire manuscript,16417,1400,1500,rec. g,,yes
Florence,Biblioteca Medicea Laurenziana,Plut. 57.50,,ff. 1r-452r,16419,1500,1600,"rec. v; mixtus with v, g, and Zonaras",,yes
Florence,Biblioteca Medicea Laurenziana,Plut. 58.30,,ff. 53r-152r,16448,1300,1400,rec. g,,yes
Florence,Biblioteca Medicea Laurenziana,Plut. 59.16,,ff. 1r-235r,16467,1100,1200,rec. g,,yes
Florence,Biblioteca Medicea Laurenziana,Plut. 59.49,,entire manuscript,16498,1400,1500,rec. g,,yes
Florence,Biblioteca Medicea Laurenziana,S. Marco 318,,ff. 43r-56v,16891,1200,1400,independ. ms.; f. 43: excerpta from Cyrillus (most likely in the g-rec.),,yes
Florence,Biblioteca Medicea Laurenziana,S. Marco 320,,entire manuscript,16892,1400,1500,rec g,,yes
